id,pregnant,blastocyst,scar,fetus,implant,notes
1617-218,y,,,2,,
1617-068,n,,,,,immature
1617-RG01,n,,,,,
1617-RG02,y,1,,,,
1617-RG03,n,,,,,
1617-109,n,,,,,
1617-213,n,,,,,
1617-P1,y,,,,2,
1617-207,n,,,,,
1617-220,n,,,,,
1617-202,n,,,,,
1617-226,n,,,,,
1617-204,y,,,3,,
1617-227,y,,,,1,
1617-228,y,,,3,,
JPK-04,n,,,,,are these otters?  I can't tell from my notes
JPK-01,n,,,,,
JPK-05,n,,,,,
1617-083,n,,,,,
1617-211,n,,,,,
GY004,n,,,,,
GY001,y,,,2,,
1617-218,y,,,2,,
1718-417,n,,,,,
1718-478,n,,,,,
1718-445,y,1,,,,
